Afghanistan,13.8
Albania,13
Algeria,23.8
Angola,21.7
Argentina,15.4
Armenia,8.4
Australia,22.4
Austria,8.1
Azerbaijan,13.5
Bahrain,28.3
Bangladesh,25.5
Belarus,8
Belgium,11.1
Benin,28.3
Bhutan,10.5
Bolivia,20.9
Bosnia,11.1
Botswana,22.2
Brazil,25.7
Bulgaria,12.1
Burkina,29.5
Burundi,20.5
Cambodia,27.6
Cameroon,25
Canada,-4
Central,25.6
Chad,27.7
Chile,9.6
China,7.9
Colombia,25.2
Comoros,23.9
Congo,24.4
Congo,25
Costa,24.9
Cote,27
Croatia,12.6
Cyprus,19.5
Czechia,9.3
Denmark,9.4
Dominican,24.8
Ecuador,21.6
Egypt,23.6
El,25.5
Estonia,6.8
Eswatini,21
Ethiopia,23.6
Finland,3
France,12.1
Gabon,25.4
Gambia,28.6
Georgia,9.7
Germany,10.2
Ghana,27.9
Greece,14.8
Guatemala,23.9
Guinea,26.1
Guinea,28.2
Guyana,26.3
Haiti,25.2
Honduras,24.9
Hungary,12.2
Iceland,2.2
India,25.1
Indonesia,26.1
Ireland,9.8
Israel,20.5
Italy,13.7
Jamaica,26.1
Japan,12.1
Jordan,20
Kazakhstan,7.6
Kenya,25.2
Korea,12.6
Kuwait,27
Kyrgyzstan,3
Laos,24.4
Latvia,7.4
Lebanon,15.9
Lesotho,12.7
Liberia,25.6
Libya,22.8
Lithuania,7.9
Luxembourg,10.5
Madagascar,22.9
Malawi,22.7
Malaysia,26.6
Mali,29.3
Malta,20
Mauritania,29
Mauritius,23.7
Mexico,21.7
Moldova,11.6
Mongolia,1.4
Morocco,18.5
Mozambique,24.5
Myanmar,24
Namibia,20.5
Nepal,14.2
Netherlands,11
New,10.9
Nicaragua,26
Niger,28.1
Nigeria,27.5
North,11.5
Norway,2.6
Oman,27.9
Pakistan,21.7
Panama,25.8
Papua,24.8
Paraguay,24.1
Peru,19.8
Philippines,26.5
Poland,9.4
Portugal,16.2
Qatar,28.6
Romania,11
Russia,-3.1
Rwanda,19.2
Saudi,26.4
Senegal,29.1
Serbia,12.2
Sierra,26.8
Singapore,27.9
Slovak,9.5
Slovenia,10.5
South,18.5
Spain,14.5
Sri,27.4
Sudan,28.1
Suriname,26.7
Sweden,3.6
Switzerland,7.1
Taiwan,0
Tajikistan,4.2
Tanzania,23
Thailand,27.1
Togo,27.6
Tunisia,20.9
TÃ¼rkiy,12.3
Turkmenistan,17.1
Uganda,23.2
Ukraine,10
United,28.6
United,9.5
United,9.9
Uruguay,18.2
Uzbekistan,14.1
Vietnam,25
Yemen,25.7
Zambia,22.1
Zimbabwe,22
